topico	rotulo	descricao	stems
1	Questão Agrária	 questao agraria	" agrar; terr; assent; lut; incra; moviment; mst; rur; acamp; paut                           "
2	Base Eleitoral	Referencia local	" prefeit; camp; rosinh; garotinh; vereador; prefeitur; mandat; goytacaz; administrac; mor   "
3	Sistema Partidário	 Novos partidos, migração partidária, filiação partidária	" part; democrat; psd; eleg; disput; fil; turn; legend; alianc; militanc                     "
4	Ensino Superior	 Ensino Superior	" univers; curs; superior; reitor; fed; campus; institu; cri; expans; graduac                "
5	Comissão da Câmara	 Comissão da Câmara	" comiss; debat; verdad; audienc; reun; particip; requ; discut; turism; control              "
6	Exploração sexual de menores	 Exploração sexual de menores	" crianc; adolescent; sexual; vez; explorac; abus; menin; pratic; conselh; dad               "
7	Reforma Política	 reforma política, reforma eleitoral	" reform; vot; campanh; financ; eleic; eleitoral; eleitor; sist; propost; candidat           "
8	Necessidades Especiais	 portadores de deficiência	" pess; deficienc; inclus; portador; algum; acessibil; necess; fisic; tip; deficient         "
9	Petrobrás / Petróleo	 Petrobrás, Empresas de recursos Naturais	" empres; petrobr; pequen; refin; micr; segund; val; negoc; simpl; empreendedor              "
10	Telecomunicação	 Telefonia, Telecomunicação, Direito do Consumidor em Telefonia	" servic; telefon; consumidor; qualidad; pag; oper; anatel; telecomunicac; celul; def        "
11	 Código Florestal	 Código Florestal	" codig; florestal; ambiental; ambient; are; mei; agricultor; preservac; relator; rural      "
12	Agradecimentos	 Agradecimentos, Agradecmentos a Políticos	" deput; filh; agradec; presenc; sra; sarney; expedient; minut; teix; amaur                  "
13	Desenvolvimento Nacional	 Desenvolvimento Nacional, País no mundo	" pais; desenvolv; mund; sobr; maior; aind; nac; cad; unid; mundial                          "
14	Norte e Nordeste	 Região Norte e Nordeste	" govern; estad; amap; petrolin; acre; rondon; camil; marcon; nev; serran                    "
15	 Violência contra mulher	 Violência contra mulher	" mulh; violenc; contr; mar; feminin; homens; penh; gen; agressor; marg                      "
16	 Mais Médicos / Saúde	 Mais Médicos, Saúde	" medic; medicin; profission; form; estrang; traz; class; cub; exam; vind                    "
17	Questão Racial	 questão racial	" negr; populac; histor; racial; igualdad; racism; discriminac; cultur; reconhec; branc      "
18	Questão Trabalhista	 Trabalho, questão trabalhista	" trabalh; escrav; hor; domest; sindicat; jorn; sindical; cart; oit; terceiriz               "
19	Conjuntura Econômica	Brasil, embaixada, Japão	" brasil; embaix; jap; espanh; diplomat; aeronaut; invent                                    "
20	 Ceará	 Ceará	" cear; ali; obrig; tribun; cearens; propr; pronunc; sempr; daquel; ultim                    "
21	Produção Agrícola	 Agricultura	" produtor; produc; agricultur; produt; prec; agricol; merc; leit; safr; produz              "
22	 Violência	 Violência	" crim; denunc; paraib; fat; vitim; autor; grup; tortur; assassinat; assassin                "
23	 Datas Comemorativas	 Datas Comemorativas Municipais	" emancipac; parabeniz; municipal; fest; feir; companh; habit; aniversar; comemor; cumpriment"
